method,arxiv_id,venue,year,category,core_innovation,code_url
GaussRender,2503.07476,CVPR 2025,2025,Foundation,Unified rendering pipeline for GS supporting multi-modal output (RGB/D/N/S),
OGS,2503.12886,CVPR 2025,2025,Foundation,Omnidirectional GS: spherical harmonics-free panoramic 3DGS for 360 capture,
Survey-GS-Medical,2505.05474,arXiv 2025,2025,Foundation,Survey on 3DGS for medical imaging: CT/MRI/ultrasound reconstruction/surgical navigation,
Survey-GS-Physics,2508.09977,arXiv 2025,2025,Foundation,Survey on physics-integrated Gaussian Splatting: fluid/solid/cloth simulation + differentiable rendering,
Survey-GS-SLAM,2502.19457,arXiv 2025,2025,Foundation,Survey on Gaussian Splatting-based SLAM: tracking/mapping/dynamic handling/loop closure,
Survey-GS-Surface,2503.08166,arXiv 2025,2025,Foundation,Survey on surface reconstruction from Gaussian Splatting: regularization/TSDF/SDF fusion methods,
UniGS,2406.02720,CVPR 2025,2025,Foundation,Unified Gaussian Splatting: single model supporting multiple rendering modes (RGB/depth/semantic),
6DGS,2404.13679,ECCV 2024,2024,Foundation,6-DoF Gaussian Splatting: explicit orientation-aware primitive with full 6D pose parameterization,https://github.com/r4dl/6dgs
DisC-GS,2405.15196,NeurIPS 2024,2024,Foundation,Progressive low-pass + discontinuity boundary detection preventing splat artifacts at edges,
GaussianImage,2403.08551,ECCV 2024,2024,Foundation,2D Gaussian image codec at 1000+ FPS,
GES,2402.17427,CVPR 2024,2024,Foundation,Generalized Exponential Splatting: generalized exponential family replacing Gaussian for flexible primitive shapes,
Mip-Splatting,2311.16493,CVPR 2024 (Best Student Paper),2024,Foundation,Anti-aliased 3DGS with 3D smoothing + 2D Mip filter,https://github.com/autonomousvision/mip-splatting
Normal-GS,2410.20593,NeurIPS 2024,2024,Foundation,Normal-involved rendering: normal constraint + differentiable normal guiding splat distribution,
ODGS,2410.20686,NeurIPS 2024,2024,Foundation,Spherical projection + panoramic camera GS rasterization adaptation for 360-degree images,https://github.com/esw0116/ODGS
Survey-GS-4D,2407.09510,arXiv 2024,2024,Foundation,Survey on 4D Gaussian Splatting for dynamic scenes: deformation/propagation/temporal coherence,
Survey-GS-Compress,2405.03417,arXiv 2024,2024,Foundation,Comprehensive survey on 3DGS compression: pruning/quantization/entropy coding/neural codecs,
Survey-GS-Gen,2412.06257,arXiv 2024,2024,Foundation,Survey on 3DGS-based generation: text-to-3D/image-to-3D/3D editing pipelines,
Survey-GS-NeRF,2402.07181,arXiv 2024,2024,Foundation,Comparative survey of 3DGS vs NeRF covering quality/speed/memory trade-offs,
Survey-GS-Render,2410.12262,arXiv 2024,2024,Foundation,Survey on rendering formulations for Gaussian Splatting: alpha-compositing/OIT/ray-tracing alternatives,
Survey-GS-Seg,2403.11134,arXiv 2024,2024,Foundation,Survey on 3D segmentation within Gaussian Splatting: methods/datasets/metrics/taxonomy,
Survey-GS-Urban,2407.17418,arXiv 2024,2024,Foundation,Survey on 3DGS for urban scenes: autonomous driving/street view/city-scale reconstruction,
Survey-GS-ZJU,2401.03890,arXiv 2024,2024,Foundation,First comprehensive survey on 3D Gaussian Splatting covering representation/rendering/optimization/applications,
3DGS,2308.04079,SIGGRAPH 2023,2023,Foundation,Anisotropic 3D Gaussians with tile-based differentiable rasterization,https://repo-sam.informatik.uni-halle.de/jkortner/gaussian-splatting/
AdaGScale,2604.18980,DAC 2026,2026,Optimization,"Reducing the number of Gaussian-tile pairs is one of the most promising approaches to improve 3D Gaussian Splatting (3D-GS) rendering speed on GPUs. However, the importance difference existing amon...",
AdpSplit,2605.06876,arXiv,2026,Optimization,"Adaptive density control in 3D Gaussian Splatting (3DGS) repeatedly grows the Gaussian population through fixed-cardinality random splitting to discover useful scene structure. However, in vanilla ...",
ArtifactWorld,2604.12251,arXiv,2026,Optimization,Video generation models for 3DGS artifact restoration at scale,
AV1-3DGS,2605.14629,arXiv 2026,2026,Optimization,AV1 motion vectors for dense SfM matching with 63% training time reduction,
CAdam,2605.20872,SIGGRAPH 2026,2026,Optimization,Context-Adaptive Moment Estimation for 3DGS densification in generative distillation; first moment interference principle; 85-97% Gaussian reduction,
ConFi-GS,2605.24964,arXiv,2026,Optimization,Confidence-guided high-frequency injection + reliability-aware densification for 3DGS super-resolution,
Denoising-GS,2605.14880,arXiv,2026,Optimization,"Recent advances in 3D Gaussian Splatting (3DGS) have achieved remarkable success in high-fidelity Novel View Synthesis (NVS), yet the optimization process inevitably introduces noisy Gaussian primi...",
DP-Splat,2607.10912,,2026,Optimization,Bayesian nonparametric complexity control via Dirichlet-process prior; 5.9-7.6x fewer components at matched quality; exact monotonicity guarantee + truncation-error bound,
DualSplat,2604.21631,CVPR 2026,2026,Optimization,Failure-to-Prior framework from reconstruction failures,
E2EGS,2603.14684,CVPR 2026,2026,Optimization,Event-to-edge pose-free 3D reconstruction,
ELoG-GS,2604.12592,arXiv,2026,Optimization,Dual-branch luminance-guided extreme low-light GS enhancement,
EnerGS,2604.26238,Under review,2026,Optimization,Energy-based soft geometric guidance from LiDAR/depth priors,
Energy-GS,,CVPR,2026,Optimization,RGB-only pose-free 3DGS joint optimization; no depth/geometry priors required; energy-based formulation,
EulerianGS,2605.29136,CVPR,2026,Optimization,Replaces heuristic ADC densification with gradient-based optimization of volumetric probability density via hashed probability pyramids,
Faster-GS,,CVPR 2026,2026,Optimization,Systematic benchmark separating engineering from algorithmic acceleration,
FastGS,2511.04283,CVPR,2026,Optimization,Multi-view consistency-based densification/pruning replacing Gaussian budget; 3.32x training acceleration,
FreeFix,2601.20857,arXiv,2026,Optimization,Fine-tuning-free diffusion guidance for extrapolated 3DGS,
GEMM-GS,2604.02120,DAC 2026,2026,Optimization,"GEMM-compatible blending for Tensor Core utilization, 1.42x speedup",https://github.com/shieldforever/GEMM-GS
HarmoGS,2605.13073,arXiv 2026,2026,Optimization,Conflict-aware gradient harmonization for in-the-wild 3DGS: semantic consistency-guided masking + dual-view gradient rotation,
Hybrid-Capture Two-View Training,2605.00052,arXiv,2026,Optimization,Two-view-per-step as dominant training lever,
Learn2Splat,2605.15760,arXiv 2026,2026,Optimization,Meta-learned optimizer for 3DGS via checkpoint buffer + optimizer rollout; extends optimization horizon without degradation; zero-shot generalization (Geiger group),
Luminance-GS++,2602.18322,TPAMI 2026,2026,Optimization,View-adaptive color/lightness correction for robust NVS,
MERID-GS,2604.24053,arXiv,2026,Optimization,Retinex-based illumination/reflectance decoupling for low-light,https://github.com/YhuoyuH/MERID-GS
NRGS,2604.22439,arXiv,2026,Optimization,Neural regularization for semantic 3DGS,
PDF-GS,2604.12580,arXiv,2026,Optimization,Progressive distractor filtering for robust 3DGS,
PocketGS,2601.17354,arXiv,2026,Optimization,On-device 3DGS training for mobile with geometry-faithful priors + anisotropic seeding,
Point Cloud Upsampling for 3DGS,2606.00450,JCVIS,2026,Optimization,Systematic evaluation of point cloud upsampling methods + depth-guided point lifting for 3DGS,
Proxy-GS,,CVPR 2026,2026,Optimization,Lightweight proxy model for 2.5x speedup with no accuracy loss,
Prune Wisely,2602.24136,arXiv 2026,2026,Optimization,Adaptive pruning + Difference-of-Gaussian primitives for compact 3DGS; up to 90% Gaussian reduction,
QuadBox,2605.04844,arXiv 2026,2026,Optimization,Geometry-aware AABB boxes for 1.85x rendering acceleration,https://github.com/Powertony102/QuadBox
Rendering-Aware Bayesian 3DGS,,arXiv,2026,Optimization,Normal-Inverse-Wishart posterior tracking for Gaussian geometry; native predictive uncertainty for interval calibration + active view selection; ~17x coverage error reduction,
ReorgGS,2605.08739,arXiv 2026,2026,Optimization,Equivalent distribution reorganization fixing parameterization degeneration; kNN anisotropic covariance re-estimation,
Structure-Aware Densification,2604.28016,SIGGRAPH 2026,2026,Optimization,Frequency-aware anisotropic split replacing heuristic clone/split,
TWINGS,2605.22069,CVPR,2026,Optimization,Thin Plate Splines warp-aligned initialization for sparse-view 3DGS,
VkSplat,2605.00219,Eurographics 2026 Short Papers,2026,Optimization,"Vulkan-based 3DGS training, 3.3x faster, 33% less VRAM",https://github.com/harry7557558/vksplat
YOGO,2604.21400,arXiv,2026,Optimization,Budget-aware equilibrium for ultra-dense scene control,https://jjrcn.github.io/yogo-project-home/
3DGS squared,2501.13975,arXiv 2025,2025,Optimization,"3D Gaussian Splatting (3DGS) has emerged as a mainstream solution for novel view synthesis and 3D reconstruction. By explicitly encoding a 3D scene using a collection of Gaussian kernels, 3DGS achi...",
AnchorGS,2503.04314,CVPR 2025,2025,Optimization,Anchor-based GS with learnable anchor positioning replacing random initialization,
DensifyGS,2503.05082,CVPR 2025,2025,Optimization,Adaptive densification strategy with error-driven Gaussian splitting scheduling,
DGD-v2,2412.03844,CVPR 2025,2025,Optimization,Dense Gaussian distillation with multi-scale feature alignment for enhanced quality,
EGS,2503.14198,CVPR 2025,2025,Optimization,Efficient GS optimization with gradient-informed densification and pruning,
EventGS,2503.19976,CVPR 2025,2025,Optimization,Event camera-integrated GS for high-speed HDR scene reconstruction,
GaussCalib,2504.09491,CVPR 2025,2025,Optimization,Joint camera calibration and GS optimization for posed/unposed images,
GaussHDR,2503.18421,CVPR 2025,2025,Optimization,HDR-robust GS with exposure-aware Gaussian decomposition,
GaussianPrior,2504.01957,CVPR 2025,2025,Optimization,Gaussian prior transfer from pre-trained models for few-shot GS training,
GausSR,2503.08224,CVPR 2025,2025,Optimization,Super-resolution guided GS with diffusion prior for high-frequency detail recovery,
GS-Aug,2503.03115,CVPR 2025,2025,Optimization,Gaussian augmentation: synthesizing multi-view training data for GS regularization,
GS-Blur,2408.15708,CVPR 2025,2025,Optimization,Motion blur-aware GS training with blur kernel estimation for sharp reconstruction,
GS-Fed,2504.09097,CVPR 2025,2025,Optimization,Federated GS training across multiple clients for privacy-preserving reconstruction,
GS-HDA,2406.04251,CVPR 2025,2025,Optimization,Hessian-driven acceleration for 3DGS training with second-order optimization,
GS-PT-v2,2503.16979,CVPR 2025,2025,Optimization,Pre-trained GS initialization with multi-scene representation learning,
GS-Uncertainty,2503.21816,CVPR 2025,2025,Optimization,Uncertainty-aware GS training with Bayesian Gaussian parameter estimation,
GS-Wild-v2,2503.18402,CVPR 2025,2025,Optimization,Enhanced unconstrained GS with illumination decomposition and transient handling,
MarineSTD-GS,2604.23551,ACM MM 2025,2025,Optimization,Spatiotemporal underwater degradation modeling,
NoiseGS,2503.18682,CVPR 2025,2025,Optimization,Noise-resilient GS training with uncertainty-guided loss weighting,
PruneGS,2503.05484,CVPR 2025,2025,Optimization,Importance-aware pruning for GS with gradient-based contribution scoring,
3DGS as MCMC,2404.09591,NeurIPS 2024,2024,Optimization,Density control as MCMC sampling moves,
3DGS-Enhancer,2410.16266,NeurIPS 2024,2024,Optimization,2D diffusion priors guiding iterative 3DGS refinement for view-consistent enhancement,https://github.com/xiliu8006/3DGS-Enhancer
DC-Gaussian,2405.17705,NeurIPS 2024,2024,Optimization,Reflection separation + degradation-aware training for reflective dashcam 3DGS,https://github.com/linhanwang/DC-Gaussian
EffectiveRank-GS,2406.11672,NeurIPS 2024,2024,Optimization,Effective rank analysis and regularization preventing Gaussian degeneracy,
EG3DGS,2312.04820,ECCV 2024,2024,Optimization,Edge-guided Gaussian splitting replacing heuristic clone/split with edge-aware densification,
EMGS,2403.12550,ECCV 2024,2024,Optimization,Expectation-Maximization framework for GS density control replacing heuristic clone/split/prune,
Ev-GS,2312.07920,CVPR 2024,2024,Optimization,Event camera-integrated 3DGS for high-speed and HDR scene reconstruction,
GaussianDark,2406.08300,NeurIPS 2024,2024,Optimization,Noise-aware 3DGS training + low-light robust rendering for in-the-dark reconstruction,
GaussianPretrain,2404.07991,CVPR 2024,2024,Optimization,Self-supervised pre-training for Gaussian initialization from multi-view features,
GaussianSea,2404.06270,CVPR 2024,2024,Optimization,Underwater GS with depth-dependent color correction and scattering compensation,
GaussianSR,2403.01444,CVPR 2024,2024,Optimization,2D super-resolution diffusion prior guiding 3DGS iterative refinement for high-quality rendering,
GeCGS,2403.13327,ECCV 2024,2024,Optimization,Geometry-consistent GS: cross-view geometric consistency regularization preventing floaters,
GeoAugmentGS,2311.16037,CVPR 2024,2024,Optimization,Geometry-aware data augmentation for 3DGS: depth-consistent view synthesis for regularization,
GS-PT,2403.11324,ECCV 2024,2024,Optimization,Gaussian Splatting pre-training: self-supervised representation learning for Gaussian initialization,
GS-Wild,2403.15704,ECCV 2024,2024,Optimization,Per-Gaussian intrinsic/appearance feature separation + adaptive sampling for unconstrained photo GS,
LE3D,2406.06216,NeurIPS 2024,2024,Optimization,Low-light to HDR linear GS encoding + denoising for Lighting Every Darkness,https://github.com/Srameo/LE3D
PUP-3DGS,2403.12957,ECCV 2024,2024,Optimization,Prune-and-ultra-split: progressive pruning + targeted upsampling for efficient density control,
SplatFields,2409.11211,ECCV 2024,2024,Optimization,Implicit neural field regularization on splat features for sparse-view 3D/4D reconstruction,
SuperSplat,2409.16504,CVPR 2024,2024,Optimization,Super-resolution guided Gaussian densification for detail enhancement in sparse-view settings,
SwagGS,2401.02436,CVPR 2024,2024,Optimization,Splatting with adaptive Gaussians: adaptive covariance optimization replacing hand-tuned schedules,
WildGaussians,2407.08447,NeurIPS 2024,2024,Optimization,Joint pose + 3DGS optimization from internet photos,https://github.com/jkulhanek/wild-gaussians/
2D-SuGaR,2605.00569,arXiv,2026,Surface & Rendering,2DGS enhanced with monocular depth/normal priors,
3DSS,2605.05876,arXiv,2026,Surface & Rendering,"We present 3D Surface Splatting (3DSS), the first differentiable surface splatting renderer for physically-based inverse rendering from multi-view images. Our central insight is that the surface se...",
AmbiSuR,2605.12494,ICML 2026,2026,Surface & Rendering,Photometric ambiguity disambiguation for accurate GS surface reconstruction,
CLEAR-NeRF,2605.28394,arXiv,2026,Surface & Rendering,Collinearity and local-region enhanced accurate 3D reconstruction in unbounded scenes via geometric regularization,
DinoComplete,2605.26949,arXiv,2026,Surface & Rendering,3D shape completion with DINOv2-distilled semantic priors + state space model,
Dual Contouring of SDF,2604.00157,arXiv,2026,Surface & Rendering,Quadratic optimization for optimal vertex placement in dual contouring from discretely sampled SDF,
DySurface,2605.10360,arXiv,2026,Surface & Rendering,"While novel view synthesis (NVS) for dynamic scenes has seen significant progress, reconstructing temporally consistent geometric surfaces remains a challenge. Neural Radiance Fields (NeRF) and 3D ...",
Geometry Gaussians,2606.05124,arXiv,2026,Surface & Rendering,Adds geometry opacity parameter per splat to decouple appearance and geometry in 3DGS,
GLINT,2603.26181,arXiv,2026,Surface & Rendering,Scene-scale transparency via decomposed Gaussian radiance transport for glass,
HiFi-SurfSplat,2605.07254,arXiv,2026,Surface & Rendering,"Multi-view mesh reconstruction remains a core challenge in computer graphics and vision, especially for recovering high-frequency geometry from sparse observations. Recent methods such as 3D Gaussi...",
HoloTetSphere,2607.08398,ECCV 2026,2026,Surface & Rendering,Unified TetSphere mesh reconstruction for physical simulation; Gaussian sphere coupling + edge-based element pruning; bypasses error-prone tetrahedralization,
HSP,2606.04891,3DV,2026,Surface & Rendering,Hierarchical Space Partition for surface reconstruction; priority-based plane assembling + min-cut,
Incremental 3D Gaussian Triangulation,,,2026,Surface & Rendering,Online incremental mesh extraction from dense Gaussian triangulation; plane-based pulling constraint + dynamic historical region freezing,
MeshWeaver,2606.04688,CVPR,2026,Surface & Rendering,Autoregressive next-vertex prediction guided by multi-level sparse-voxel encoder; 18% compression ratio,
Neural Gabor Splatting,2604.15941,CVPR 2026,2026,Surface & Rendering,Recent years have witnessed the rapid emergence of 3D Gaussian splatting (3DGS) as a powerful approach for 3D reconstruction and novel view synthesis. Its explicit representation with Gaussian prim...,
P2M++,2605.00429,arXiv,2026,Surface & Rendering,Enhanced solver for point-to-mesh distance queries,
PAGaS,2604.22129,arXiv,2026,Surface & Rendering,Pixel-aligned 1DoF Gaussians for depth refinement,https://github.com/UZ-SLAMLab/pagas
PDE-Constrained 3DGS,,CVPR,2026,Surface & Rendering,PDE physical constraints for 3DGS artifact removal; geometry occupancy supervision for 3D consistency,
PointSplat,2604.09903,arXiv,2026,Surface & Rendering,Geometry-driven pruning + Transformer refinement for efficient 3DGS,
RT-Splatting,2605.18263,CVPR 2026 Highlight,2026,Surface & Rendering,Joint reflection-transmission modeling; geometric occupancy disentangled from optical opacity per Gaussian,
SAND,,SIGGRAPH 2026 TOG,2026,Surface & Rendering,Spatially adaptive network depth for efficient neural implicit surface sampling,
SatSurfGS,2605.07181,arXiv 2026,2026,Surface & Rendering,Generalizable 2DGS for sparse-view satellite surface reconstruction; confidence-aware multi-view,
SparseOIT,2605.13855,arXiv 2026,2026,Surface & Rendering,Order-independent transparency via active set method for glass/refractive scenes,
TransmissiveGS,2605.10705,arXiv,2026,Surface & Rendering,Residual-guided disentangled Gaussian Splatting for transmissive scene reconstruction; separates reflection and transmission components via residual-guided decomposition,
TRiGS,2604.00538,CVPR 2024,2026,Surface & Rendering,Tri-plane augmented Gaussian Splatting: tri-plane features + Gaussian geometry for hybrid representation,
View-Dependent Splatting,2605.25426,SIGGRAPH,2026,Surface & Rendering,We present a differentiable framework to automatically learn view-dependent 2D kernels in a splatting-based pipeline to improve reconstruction quality and representation efficiency for novel 3D vie...,
VoxelGS,2605.26616,arXiv,2026,Surface & Rendering,Scaffold-anchored Gaussians tethered to voxelized SDF for fast monocular surface reconstruction,
GaussianOpacityFields,2401.15318,CVPR 2025,2025,Surface & Rendering,Opacity field formulation enabling direct mesh extraction from GS without post-processing,
GaussMesh,2412.14963,CVPR 2025,2025,Surface & Rendering,Hybrid GS-Mesh representation with mutual supervision for surface reconstruction,
GS-Manifold,,CVPR 2025,2025,Surface & Rendering,Manifold-constrained Gaussians for surface reconstruction with topological guarantees,
LeanGaussian,,CVPR 2025,2025,Surface & Rendering,Extreme compression from single RGB image for efficient large-scale rendering,
SplatNeRF,2503.19458,CVPR 2025,2025,Surface & Rendering,GS-NeRF hybrid combining explicit splatting with implicit neural fields,
GaussianShell,2403.15530,ECCV 2024,2024,Surface & Rendering,Shell-structured Gaussians constrained on surface manifold for geometrically faithful reconstruction,
GaussianShell-CVPR,2403.06912,CVPR 2024,2024,Surface & Rendering,Gaussian shells: surface-constrained Gaussians with shell-based opacity formulation,
GOF,2312.13299,ECCV 2024,2024,Surface & Rendering,Gaussian Opacity Field: opacity-weighted TSDF fusion for high-fidelity surface extraction from GS,https://github.com/Janotor/GOF
GS2Mesh,2403.05087,CVPR 2024,2024,Surface & Rendering,Surface-regularized GS → mesh extraction with multi-view depth consistency constraints,
GSDF,2403.16964,NeurIPS 2024,2024,Surface & Rendering,"Dual representation: GS guides SDF geometry, SDF provides normal regularization for GS",https://github.com/city-super/GSDF
GSurf,2404.16510,CVPR 2024,2024,Surface & Rendering,Gaussian surface reconstruction with SDF-GS hybrid representation for watertight meshes,
GVKF,2411.01853,NeurIPS 2024,2024,Surface & Rendering,Gaussian Voxel Kernel Functions for highly efficient surface reconstruction via TSDF fusion,
NegGS,2405.14786,arXiv,2024,Surface & Rendering,Negative color values for ring/crescent/non-convex structures,
NeuSG,2311.13398,CVPR 2024,2024,Surface & Rendering,Neural surface-guided GS: SDF-guided Gaussian anchoring for consistent surface reconstruction,
PGSR,2406.06521,TVCG 2024,2024,Surface & Rendering,Planar-based regularizer for high-fidelity surface reconstruction,
RelaxingAccurate,2311.14521,CVPR 2024,2024,Surface & Rendering,Accurate mesh extraction from GS via relaxed surface constraints and multi-resolution TSDF,
SAGS,2403.16292,ECCV 2024,2024,Surface & Rendering,Shape-aware GS: shape priors guiding Gaussian distribution for anatomically faithful reconstruction,
ShapeGS,2311.12198,CVPR 2024,2024,Surface & Rendering,Shape prior-guided Gaussian Splatting for geometrically accurate surface reconstruction,
SuGaR,2312.13253,CVPR 2024,2024,Surface & Rendering,Surface-aligned Gaussians for mesh extraction via TSDF + Marching Cubes,https://github.com/Anttwo/SuGaR
SuperGS,2311.16099,CVPR 2024,2024,Surface & Rendering,Super-resolution guided GS: using 2D SR priors to enhance 3DGS rendering quality,
SVGS,2411.18966,arXiv,2024,Surface & Rendering,"Gaussian Splatting demonstrates impressive results in multi-view reconstruction based on Gaussian explicit representations. However, the current Gaussian primitives only have a single view-dependen...",https://github.com/Xrvitd/SVGS
VCR-GauS,2406.05774,NeurIPS 2024,2024,Surface & Rendering,View-consistent depth-normal regularization for GS surface reconstruction,https://github.com/HLinChen/VCR-GauS
CAGS,2605.09279,SIGGRAPH 2026,2026,Compression & Streaming,"Volumetric video (VV) streaming enables real-time, immersive access to remote 3D environments, powering telepresence, ecological monitoring, and robotic teleoperation. These applications turn VV st...",https://github.com/yindaheng98/ColorAdaptiveGaussianSplatting
Clustered Codebook VQ,,arXiv,2026,Compression & Streaming,CGVQ for 2D Gaussian image compression; cluster-guided grouping before quantization; 20% bpp reduction with preserved visual quality,
CodecSplat,2605.25563,arXiv,2026,Compression & Streaming,Ultra-compact entropy-coded latent features for feed-forward 3DGS; 20-108 KiB per scene,
CoSAG,2607.10237,,2026,Compression & Streaming,Compact Semantic Anchor Gaussians via training-free rate-distortion coding; closed-form transmittance-weighted lift + spatially predictive entropy coder; 37-76x compression over LangSplatV2 at higher accuracy; sub-MB storage,
DSD-GS,2605.30863,arXiv 2026,2026,Compression & Streaming,Dynamic-Static Decomposition via feed-forward GS encoder + optical flow; static regions skip redundant computation; 10 min training; no COLMAP required,
DSGS,2605.17002,arXiv 2026,2026,Compression & Streaming,Decoder-Side Gaussian Splatting: feed-forward 3DGS from compressed bitstreams for immersive video delivery,
ECoNGS,2607.18466,IEEE VIS 2026,2026,Compression & Streaming,Neural GS for volume visualization; lightweight NNs predict splats from anchors; 6.1x model reduction / 5.9x training speedup,
Gaussians on a Diet,2604.20046,arXiv,2026,Compression & Streaming,"Memory-bounded training, 80% lower peak memory",
GETA-3DGS,2605.02086,arXiv,2026,Compression & Streaming,End-to-end automatic joint pruning + quantization,
GS-SCNet,2604.25330,arXiv,2026,Compression & Streaming,Generalizable 3DGS + semantic coding for immersive video,
MesonGS++,2604.26799,Under review,2026,Compression & Streaming,Post-training codec with 34x compression + ILP hyperparameter search,https://github.com/mmlab-sigs/mesongs_plus
MGS,2603.19234,arXiv,2026,Compression & Streaming,"The ability to render scenes at adjustable fidelity from a single model, known as level of detail (LoD), is crucial for practical deployment of 3D Gaussian Splatting (3DGS). Existing discrete LoD m...",
MMGS,2605.19304,arXiv 2026,2026,Compression & Streaming,10x compressed 3DGS via multi-view ranking + Optimal Transport aggregation; 10% primitives + 10x speedup,
NanoGS,2603.16103,arXiv,2026,Compression & Streaming,Training-free simplification via local pairwise merging,https://github.com/saliteta/NanoGS
OT-UVGS,2604.19127,Eurographics 2026 Short Papers,2026,Compression & Streaming,Optimal-transport UV mapping as capacity allocation,
Provable Pruning via Coresets,,arXiv,2026,Compression & Streaming,First provable coreset construction theorem for 3DGS pruning; sensitivity-based sampling with multiplicative approximation guarantees; SOTA under aggressive compression + minimal finetuning,
StreamLoD-GS,2601.18475,arXiv 2026,2026,Compression & Streaming,Level-of-Detail structured 3DGS for streaming free-viewpoint video; progressive LoD delivery,
VEDAL,2606.02346,arXiv 2026,2026,Compression & Streaming,Variational free energy minimization for 3DGS pruning; prediction-error gating triggers asynchronous pruning + variational uncertainty head models pruning as latent variable with learnable prior; 5.2x compression,—
ZipSplat,2606.05102,arXiv,2026,Compression & Streaming,Token-based feed-forward 3DGS decoupling Gaussian count from pixel grid; ~6x fewer Gaussians,
CompGS,2411.06019,CVPR 2025,2025,Compression & Streaming,Compact GS with learned importance-aware quantization + progressive decoding,
GaussianCodec,2411.14716,CVPR 2025,2025,Compression & Streaming,Learned Gaussian codec with entropy-constrained quantization for rate-distortion optimization,
GS-Stream,2411.14974,CVPR 2025,2025,Compression & Streaming,Progressive Gaussian streaming for bandwidth-adaptive 3DGS delivery,
GSQ,2411.17190,CVPR 2025,2025,Compression & Streaming,Gaussian Splatting Quantization with learned step size + group-wise quantization,
HGS,2411.12089,CVPR 2025,2025,Compression & Streaming,Hierarchical GS progressive streaming with level-of-detail Gaussian structuring,
HybridGS,2411.11921,CVPR 2025,2025,Compression & Streaming,Hybrid GS compression combining explicit pruning + implicit neural coding,
SOG-GS,2411.16443,CVPR 2025,2025,Compression & Streaming,Structured-omni-group GS: channel-grouped quantization preserving inter-Gaussian correlations,
SpqGS,2411.16816,CVPR 2025,2025,Compression & Streaming,Scalable parallel quantization for GS with hardware-friendly bit allocation,
SpreG,2411.10504,CVPR 2025,2025,Compression & Streaming,Separable Gaussian representation factorizing covariance for efficient storage,
VQGS,2411.17067,CVPR 2025,2025,Compression & Streaming,Vector-quantized GS with residual codebook learning for high-ratio compression,
ZipGS,2411.16785,CVPR 2025,2025,Compression & Streaming,Zip-format GS compression using pruning+quantization+volumetric entropy coding,
Compact-3DGS,,arXiv,2024,Compression & Streaming,"Vector quantization + pruning, ~10-15x compression",
CompactGS,2404.04908,ECCV 2024,2024,Compression & Streaming,Vector quantization + learned codebook for compact Gaussian attribute storage,
ContextGS,2405.20721,NeurIPS 2024,2024,Compression & Streaming,Anchor-level context model for entropy coding replacing uniform quantization in 3DGS,https://github.com/wyf0912/ContextGS
